experiment,run_id,seed,condition,status,failure_reason,elapsed_s,case_sha256
morphometry,seed-000000-earth-sections,0,plume_advanced_evaluation,complete,,31.748276960017392,93f40858dff7a77aace966b5ecc53f49cd7c724d9ffe3436d897c2f7360c843a
morphometry,seed-000001-earth-sections,1,plume_advanced_evaluation,complete,,30.8503404489893,b4f15cf3d0b356f08b9b7bd01af8052397d3757f03b2f056b90f572ee107a5e1
morphometry,seed-000002-earth-sections,2,plume_advanced_evaluation,complete,,30.613401103997603,6806e83b1885b032072c1375d58c87136a41f2146edb99e5ce859b234df806f0
morphometry,seed-000003-earth-sections,3,plume_advanced_evaluation,complete,,31.494221079017734,ab9e8fa1edabd53589e210c3235f7d7b11215a4b7cea97ea7176b87de312ced9
morphometry,seed-000004-earth-sections,4,plume_advanced_evaluation,complete,,30.8203226190235,0d84fb8867e242c89c49f63e0a98d30f58247301de32d5b3acff88a5a42a0969
morphometry,seed-000005-earth-sections,5,plume_advanced_evaluation,complete,,31.16112211399013,6cab326b9a1b08f1777c78f0492d7c078b0fc291ec40bc6e7bda177aa6632c4f
morphometry,seed-000006-earth-sections,6,plume_advanced_evaluation,complete,,30.528691970015643,678d80b822308de2f86a053fb5f77eb42548295c382857dfe5b5963328e1d5e2
morphometry,seed-000007-earth-sections,7,plume_advanced_evaluation,complete,,30.96572223401745,7779b64a7360d2f9152bceddb980299f9d1af54dec1d1b23a3e88e878fbe7e0b
morphometry,seed-000008-earth-sections,8,plume_advanced_evaluation,complete,,30.48278230300639,a1c1276b91f59ffd1c6474e7ad8815585bae61c616ef32e97ed8f1a614066cf5
morphometry,seed-000009-earth-sections,9,plume_advanced_evaluation,complete,,30.94995098398067,ed37585ff78f2cf3f984a83cafee841904f4dcbe0c585935f10aea9a5d083dd7
morphometry,seed-000010-earth-sections,10,plume_advanced_evaluation,complete,,30.503666703996714,891b40152ae7a98f305af7b3b49ed6152865919100a5a503fcb034fadcf7ffcf
morphometry,seed-000011-earth-sections,11,plume_advanced_evaluation,complete,,31.24093758899835,9c5720922574e2178649e08646f2b3df1c2c21afde922d6baffb645d5e16f9e0
morphometry,seed-000012-earth-sections,12,plume_advanced_evaluation,complete,,29.855528438987676,2efff3706191b238ba52bc75880823a76b2285742e97e128373d59004f039809
morphometry,seed-000013-earth-sections,13,plume_advanced_evaluation,complete,,30.366264542011777,a4257b0a397fc765fb5a189a872f011a04b369c5250b2c379cf54b850aea807d
morphometry,seed-000014-earth-sections,14,plume_advanced_evaluation,complete,,30.549584697000682,96079d5a76c6edff5529a821eda342e45ee649dc0900f6bb926e87f8c58c3a57
morphometry,seed-000015-earth-sections,15,plume_advanced_evaluation,complete,,30.977979680988938,169867c3114eff1aacd0943e3a538e3ed8eaf90c950b5907e0c6882d1e45596a
morphometry,seed-000016-earth-sections,16,plume_advanced_evaluation,complete,,30.560779038991313,eaf04095c5fec31add5a63acc7cbf63a80251b2293915862014ae39a6d71b9de
morphometry,seed-000017-earth-sections,17,plume_advanced_evaluation,complete,,30.847803090000525,2a38f70637df9c3f96552642f7ec46ba320051fade9391fd78a7ce008b9dd0bd
morphometry,seed-000018-earth-sections,18,plume_advanced_evaluation,complete,,30.494673769979272,cfe16073b1de331d7fc1dd966c7550b9a88bd61ce23ef4c35c94ca03398394cf
morphometry,seed-000019-earth-sections,19,plume_advanced_evaluation,complete,,30.47309247101657,3c2866ae5cefccb31089f3d5aff97c32f4eb575ba58abbe1268a93bfdd467173
morphometry,seed-000020-earth-sections,20,plume_advanced_evaluation,complete,,31.288395644020056,a60374f18930944b977fe7e91d949cdcf1794c8df428877eb510ab847294d816
morphometry,seed-000021-earth-sections,21,plume_advanced_evaluation,complete,,30.276409624988446,4865e8f6b3e219050d410ae7601d40b2f5391af16d28c326137220c52c153f3d
morphometry,seed-000022-earth-sections,22,plume_advanced_evaluation,complete,,31.323851402004948,641216803d7aede848d546dd93b21391dcf5d2bce0d00c5420acf1b8f6642c77
morphometry,seed-000023-earth-sections,23,plume_advanced_evaluation,complete,,30.331655910995323,f3cc6cb13e586da9456d8771a361e5b97a98b8b3155f0b56eee8f4aedcfb7a81
morphometry,seed-000024-earth-sections,24,plume_advanced_evaluation,complete,,31.4223341710167,940044217bade3ef7928ec44e1d655e17df903ff34a690ec2d833a0dd6e4f197
morphometry,seed-000025-earth-sections,25,plume_advanced_evaluation,complete,,30.58614225598285,75cd5bca5864e2bca78e57fb3460b1b56f530acad562d5f391a923e946b5ccaf
morphometry,seed-000026-earth-sections,26,plume_advanced_evaluation,complete,,30.68588086499949,43ef511e590c3d499210b870e9d3cc8e2ae68dcf0409c6eae079d26bee9a4d1d
morphometry,seed-000027-earth-sections,27,plume_advanced_evaluation,complete,,30.370441030012444,b598390209dd0cda293ecf68a3351d78d74a3a2bad06dbddd6d1316acbf7986b
morphometry,seed-000028-earth-sections,28,plume_advanced_evaluation,complete,,30.561590433993842,8c5c022ab49bf1f964ac25d3753d3a7098faabd900eb2d69b6a49726181d1702
morphometry,seed-000029-earth-sections,29,plume_advanced_evaluation,complete,,31.424234742997214,a58bc39276776ef0d9659d0904ed9556943e3f5426ccb7bba71984410ae019e1
morphometry,seed-000030-earth-sections,30,plume_advanced_evaluation,complete,,30.717973643011646,b44bdfa7835287b97a97f8aef9b7ce0afb1220dc8a8c32112993ed883a4c7453
morphometry,seed-000031-earth-sections,31,plume_advanced_evaluation,complete,,30.07284318798338,c3583de61652db39a7ece7ebac8e1339a61da8ac8ed45704b48390ef7434beae
morphometry,seed-000032-earth-sections,32,plume_advanced_evaluation,complete,,31.265089212014573,318b48f0969cce51439f259dd639a17f78677f16fdaf3dc00b06a1a38a4f9c38
morphometry,seed-000033-earth-sections,33,plume_advanced_evaluation,complete,,30.156405107001774,d17dfd333c5d32f34cf418c87655c49cac0962389c970f68ab3683cacb538863
morphometry,seed-000034-earth-sections,34,plume_advanced_evaluation,complete,,30.098121046990855,bb0315aaa86a67b55bade86771d36706315290972022430426a2ae1c3a9c6c20
morphometry,seed-000035-earth-sections,35,plume_advanced_evaluation,complete,,31.23449791400344,4292f1b0a8282511e49472924b7f0bcc76053fdb2dfa4aead9f903a515480d8a
morphometry,seed-000036-earth-sections,36,plume_advanced_evaluation,complete,,30.457905303977896,e7f676299ffc385c7f67b50219a84ce0ecfe07517d43626d1134ce9d0dcae7c5
morphometry,seed-000037-earth-sections,37,plume_advanced_evaluation,complete,,30.506068483984563,2e9d90935b56560eb32b114b2f15d73be505eb0ff6d0b6c3bc35634db5695675
morphometry,seed-000038-earth-sections,38,plume_advanced_evaluation,complete,,31.40327256199089,5f061fe5f6a86f78f2de54ad436c56f9ec25a3e1a166414639187e91c7b08b20
morphometry,seed-000039-earth-sections,39,plume_advanced_evaluation,complete,,30.840620839997428,eaf0679230b1902d595f8888c01a9180e06fac17c734ebd9adf261eac9d894e2
morphometry,seed-000040-earth-sections,40,plume_advanced_evaluation,complete,,30.164491132018156,d978e4a6d983cc96c10e18eb703a728728b8e3041b59d23dc297a33caf4a8ca1
