anastomosis_count,branch_persistence_diameters_median,branch_persistence_length_median_m,breakout_event_count,chamber_count,coalescence_flux_return_ratio,condition_id,connected_component_count,control,control_value,cyclomatic_number,distinct_z_level_count,edge_count,elapsed_s,emplacement_phase_count,entries_without_exit_path_count,experiment_name,experiment_schema_version,failure_reason,git_commit,git_dirty,host_horizontal_scale,independent_braid_or_island_count,input_dataset_id,input_dataset_sha256_or_version,junction_to_passage_width_ratio,lava_age_monotonicity_violation_count,length_weighted_mean_sinuosity,lobe_path_count,main_route_length_m,max_absolute_flux_conservation_residual,max_branch_factor,max_relative_flux_conservation_residual,mean_branch_factor,mean_branch_flux_fraction,mean_breakout_score,merge_junction_count,model_schema_version,network_density,node_count,platform,process_chamber_segment_count,provenance_sha256,python_version,resolved_config_sha256,retired_lobe_count,run_id,seed,sinuosity_p95,source_count,source_unreachable_node_count,split_junction_count,split_merge_nodes_exceeding_tolerance,split_merge_region_count,stacked_segment_count,started_at_utc,status,temperature_monotonicity_violation_count,terminal_count,total_centerline_length_m,underpass_count,vertical_capture_count,vertically_overlapping_xy_passage_count,zero_flux_segment_count
12,9.192567432431849,91.32752881607212,13,7,0.5690531725158644,distributary=0.200,1,distributary,0.2,12,3,57,27.9375781880226,4,0,controllability,1,,0961a66e7c3e92f4f15d5866cfce224a85fff691,True,1.0,13,,,,0,1.0226071309898208,13,5152.434200556023,1.7763568394002505e-15,2,2.3361179224719906e-16,2.0,0.3923366246258506,3.8162566511025053,17,1,3.0,46,Linux-6.8.0-60-generic-x86_64-with-glibc2.39,2,a4ea582cf2de48d09361c95d39f905f6864fae08f3efd88aeadcb8e209780cb9,3.13.5,37e2c187449b4fbffaadede038b581b1db3b6abea34c010fbee2ba4a41032522,4,seed-000000-distributary-0.200,0,1.110523336627216,8,0,15,0,22,7,2026-09-07T11:11:24.104574+00:00,complete,0,12,9466.18306782527,0,7,20,0
10,9.660893368779192,91.92567432431849,17,5,0.4257721535771367,distributary=0.500,1,distributary,0.5,10,3,62,28.20338904199889,4,0,controllability,1,,0961a66e7c3e92f4f15d5866cfce224a85fff691,True,1.0,17,,,,0,1.044101447957421,17,5202.010650722368,1.7763568394002505e-15,2,2.2342058502643614e-16,2.0,0.3518272160951497,3.8842587338852845,15,1,3.0,53,Linux-6.8.0-60-generic-x86_64-with-glibc2.39,1,a4ea582cf2de48d09361c95d39f905f6864fae08f3efd88aeadcb8e209780cb9,3.13.5,30fa8389e96de554d8752db4d8d2cf698137bd468e88ac701d0782dbed93f13f,10,seed-000000-distributary-0.500,0,1.165058096906098,8,0,19,0,19,8,2026-09-07T11:11:24.108947+00:00,complete,0,18,12258.343435861369,0,3,19,0
10,9.660893368779192,91.92567432431849,17,5,0.4257721535771367,distributary=0.800,1,distributary,0.8,10,3,62,27.768215516989585,4,0,controllability,1,,0961a66e7c3e92f4f15d5866cfce224a85fff691,True,1.0,17,,,,0,1.044101447957421,17,5202.010650722368,1.7763568394002505e-15,2,2.2342058502643614e-16,2.0,0.3518272160951497,3.8842587338852845,15,1,3.0,53,Linux-6.8.0-60-generic-x86_64-with-glibc2.39,1,a4ea582cf2de48d09361c95d39f905f6864fae08f3efd88aeadcb8e209780cb9,3.13.5,1bc37097c48f672bd14a45593b859bdcd4db0c11121a4f96732b2553a1d604d0,10,seed-000000-distributary-0.800,0,1.165058096906098,8,0,19,0,19,8,2026-09-07T11:11:24.109013+00:00,complete,0,18,12258.343435861369,0,3,19,0
10,12.604993326958324,103.51699642185179,15,9,0.4159352066378051,duration=0.500,1,duration,0.5,9,3,50,27.858879845007323,4,0,controllability,1,,0961a66e7c3e92f4f15d5866cfce224a85fff691,True,1.0,15,,,,0,1.0435681195084359,15,2662.295672907049,8.881784197001252e-16,2,2.177713373967779e-16,2.0,0.366738705782648,3.863781622355137,13,1,3.0,42,Linux-6.8.0-60-generic-x86_64-with-glibc2.39,3,a4ea582cf2de48d09361c95d39f905f6864fae08f3efd88aeadcb8e209780cb9,3.13.5,b0a56ec8834ca468acc1f34aac0b508d242c0e7ea8e081b163efdcc312fb2c6d,8,seed-000000-duration-0.500,0,1.192437778608303,8,0,15,0,16,7,2026-09-07T11:11:24.109114+00:00,complete,0,15,6300.239592853746,0,2,16,0
10,9.660893368779192,91.92567432431849,17,5,0.4257721535771367,duration=1.000,1,duration,1.0,10,3,62,28.112316743005067,4,0,controllability,1,,0961a66e7c3e92f4f15d5866cfce224a85fff691,True,1.0,17,,,,0,1.044101447957421,17,5202.010650722368,1.7763568394002505e-15,2,2.2342058502643614e-16,2.0,0.3518272160951497,3.8842587338852845,15,1,3.0,53,Linux-6.8.0-60-generic-x86_64-with-glibc2.39,1,a4ea582cf2de48d09361c95d39f905f6864fae08f3efd88aeadcb8e209780cb9,3.13.5,6797177345f1572427291f691beae44b45f3fd995af9ce651c651fa49629d803,10,seed-000000-duration-1.000,0,1.165058096906098,8,0,19,0,19,8,2026-09-07T11:11:24.109169+00:00,complete,0,18,12258.343435861369,0,3,19,0
11,9.10929989336746,91.09299893367461,11,10,0.5896572178629272,duration=1.500,1,duration,1.5,18,2,76,38.26133803802077,4,0,controllability,1,,0961a66e7c3e92f4f15d5866cfce224a85fff691,True,1.0,11,,,,0,1.0185766455673981,11,4718.067686768269,1.7763568394002505e-15,2,2.293153543468311e-16,2.0,0.34309293230488974,4.058464261454086,23,1,3.0,59,Linux-6.8.0-60-generic-x86_64-with-glibc2.39,6,a4ea582cf2de48d09361c95d39f905f6864fae08f3efd88aeadcb8e209780cb9,3.13.5,27371e99327c33cdef55d7718cfcefa2c74663ae944fe8297e385d113cdb035d,3,seed-000000-duration-1.500,0,1.0972885418431462,8,0,21,0,18,5,2026-09-07T11:11:24.109206+00:00,complete,0,12,9742.389002645516,0,3,11,0
11,12.456162977274063,91.326934624553,15,13,0.45065522625361737,inflation=0.200,1,inflation,0.2,11,3,60,30.101518472016323,4,0,controllability,1,,0961a66e7c3e92f4f15d5866cfce224a85fff691,True,1.0,15,,,1.2417434012909214,0,1.0344188716184706,15,5177.59617357007,8.881784197001252e-16,2,2.249546314748789e-16,2.0,0.3722272156394534,4.187975324062648,16,1,3.0,50,Linux-6.8.0-60-generic-x86_64-with-glibc2.39,6,a4ea582cf2de48d09361c95d39f905f6864fae08f3efd88aeadcb8e209780cb9,3.13.5,aae691b15d18fd94715a44150b664ce4e633c3c79dd621f6b9b80bd415b8cce0,6,seed-000000-inflation-0.200,0,1.2158488528800298,8,0,17,0,21,6,2026-09-07T11:11:51.877545+00:00,complete,0,15,10913.072618992377,0,3,15,0
10,9.660893368779192,91.92567432431849,17,5,0.4257721535771367,inflation=0.500,1,inflation,0.5,10,3,62,30.353752358001657,4,0,controllability,1,,0961a66e7c3e92f4f15d5866cfce224a85fff691,True,1.0,17,,,1.3286188337120732,0,1.044101447957421,17,5202.010650722368,1.7763568394002505e-15,2,2.2342058502643614e-16,2.0,0.3518272160951497,3.8842587338852845,15,1,3.0,53,Linux-6.8.0-60-generic-x86_64-with-glibc2.39,1,a4ea582cf2de48d09361c95d39f905f6864fae08f3efd88aeadcb8e209780cb9,3.13.5,6797177345f1572427291f691beae44b45f3fd995af9ce651c651fa49629d803,10,seed-000000-inflation-0.500,0,1.165058096906098,8,0,19,0,19,8,2026-09-07T11:11:51.968289+00:00,complete,0,18,12258.343435861369,0,3,19,0
10,9.791306961951637,91.9256183467831,13,11,0.5262317220351703,inflation=0.800,1,inflation,0.8,10,3,55,29.979195248015458,4,0,controllability,1,,0961a66e7c3e92f4f15d5866cfce224a85fff691,True,1.0,13,,,1.3472350041655785,0,1.0343206824499103,13,5158.335128400405,8.881784197001252e-16,2,1.249606932451057e-16,2.0,0.3734611057306027,3.956942349066323,15,1,3.0,46,Linux-6.8.0-60-generic-x86_64-with-glibc2.39,5,a4ea582cf2de48d09361c95d39f905f6864fae08f3efd88aeadcb8e209780cb9,3.13.5,46fa97f51f9d6beb067864b506430193f62211c5c6f91ce1ba04d15801ed45f0,5,seed-000000-inflation-0.800,0,1.1378814014955287,8,0,15,0,19,8,2026-09-07T11:11:52.042502+00:00,complete,0,14,10022.146350943682,0,6,19,0
12,9.11881717268054,91.18817172680541,17,10,0.4310382426640514,supply=0.700,1,supply,0.7,12,3,67,23.610356075980235,4,0,controllability,1,,0961a66e7c3e92f4f15d5866cfce224a85fff691,True,0.8366600265340756,17,,,,0,1.0203875957982633,17,4278.394238397635,8.881784197001252e-16,2,3.3261371991525363e-16,2.0,0.36191008068039254,3.8008877847645874,17,1,3.0,56,Linux-6.8.0-60-generic-x86_64-with-glibc2.39,5,a4ea582cf2de48d09361c95d39f905f6864fae08f3efd88aeadcb8e209780cb9,3.13.5,8c433541306c4a85c0f47d6c21a8fbbe2950ff0f47358dde892e914d9f866ec1,8,seed-000000-supply-0.700,0,1.0968691368002574,8,0,19,0,22,8,2026-09-07T11:11:52.221793+00:00,complete,0,16,9292.604261664075,0,6,20,0
