anastomosis_count,branch_persistence_diameters_median,branch_persistence_length_median_m,breakout_event_count,centerline_displacement_mean_m,centerline_displacement_mean_passage_widths,centerline_displacement_p95_m,chamber_count,coalescence_flux_return_ratio,condition_id,connected_component_count,cyclomatic_number,distinct_z_level_count,edge_count,elapsed_s,emplacement_phase_count,entries_without_exit_path_count,experiment_name,experiment_schema_version,failure_reason,git_commit,git_dirty,independent_braid_or_island_count,input_dataset_id,input_dataset_sha256_or_version,lava_age_monotonicity_violation_count,length_weighted_mean_sinuosity,lobe_path_count,main_route_length_m,max_absolute_flux_conservation_residual,max_branch_factor,max_relative_flux_conservation_residual,mean_branch_factor,mean_branch_flux_fraction,mean_breakout_score,merge_junction_count,model_schema_version,network_density,node_count,platform,process_chamber_segment_count,provenance_sha256,python_version,resolved_config_sha256,retired_lobe_count,routing_enabled,run_id,seed,sinuosity_p95,source_count,source_unreachable_node_count,split_junction_count,split_merge_nodes_exceeding_tolerance,split_merge_region_count,stacked_segment_count,started_at_utc,status,temperature_monotonicity_violation_count,terminal_count,total_centerline_length_m,underpass_count,vertical_capture_count,vertically_overlapping_xy_passage_count,zero_flux_segment_count
10,9.660893368779192,91.92567432431849,17,0.0,0.0,0.0,5,0.4257721535771367,full,1,10,3,62,28.410281071992358,4,0,host_ablation,1,,0961a66e7c3e92f4f15d5866cfce224a85fff691,True,17,,,0,1.044101447957421,17,5202.010650722368,1.7763568394002505e-15,2,2.2342058502643614e-16,2.0,0.3518272160951497,3.8842587338852845,15,1,3.0,53,Linux-6.8.0-60-generic-x86_64-with-glibc2.39,1,576e1c44642399c739b07c613e5e1158a56e52421ec644bc76e0b493b58fb606,3.13.5,6797177345f1572427291f691beae44b45f3fd995af9ce651c651fa49629d803,10,True,seed-000000-full,0,1.165058096906098,8,0,19,0,19,8,2026-09-07T09:06:10.944860+00:00,complete,0,18,12258.343435861369,0,3,19,0
15,9.56851081273598,95.6851081273598,15,13.152900294050056,1.6495406183537733,89.49831023620973,13,0.6269606840971046,no_capacity,1,15,3,64,28.828041087981546,4,0,host_ablation,1,,0961a66e7c3e92f4f15d5866cfce224a85fff691,True,15,,,0,1.030104074724968,15,5236.754378163149,1.7763568394002505e-15,2,2.2204460492503126e-16,2.0,0.2923110237276007,3.990764153329727,20,1,3.0,50,Linux-6.8.0-60-generic-x86_64-with-glibc2.39,6,576e1c44642399c739b07c613e5e1158a56e52421ec644bc76e0b493b58fb606,3.13.5,eb4b5ab4126caee9dabbc4a784e47faa13d2ef7f4f0548a18eb3a50b986c8233,2,True,seed-000000-no_capacity,0,1.141920282620277,8,0,17,0,29,5,2026-09-07T09:08:05.260776+00:00,complete,0,11,10030.562650111198,0,4,14,0
14,9.13376053734888,90.6924676191509,15,11.655692639249041,1.4617717776045065,90.81008872406488,9,0.6080744807573423,no_cover,1,13,3,63,28.605626905016834,4,0,host_ablation,1,,0961a66e7c3e92f4f15d5866cfce224a85fff691,True,15,,,0,1.0230482714217255,15,5150.785168481037,1.7763568394002505e-15,2,2.316710439687701e-16,2.0,0.34462924231997033,3.7807073640246287,18,1,3.0,51,Linux-6.8.0-60-generic-x86_64-with-glibc2.39,4,576e1c44642399c739b07c613e5e1158a56e52421ec644bc76e0b493b58fb606,3.13.5,f11b53cb4270a3f0994864ea8f1c66bd78bc810ead1e2e557bb4630b5280a81c,5,True,seed-000000-no_cover,0,1.1056470856015057,8,0,17,0,24,8,2026-09-07T09:07:07.996695+00:00,complete,0,13,9685.656113820216,0,8,21,0
13,9.195176216244564,91.87381850541789,15,14.16386765618284,1.776328755600003,87.53482596883077,7,0.6014768637115699,no_fracture,1,14,3,70,28.65837317201658,4,0,host_ablation,1,,0961a66e7c3e92f4f15d5866cfce224a85fff691,True,15,,,0,1.027583581391643,15,5122.058314691471,2.6645352591003757e-15,2,3.33066907387547e-16,2.0,0.35554575579006414,3.878460827738758,19,1,3.0,57,Linux-6.8.0-60-generic-x86_64-with-glibc2.39,3,576e1c44642399c739b07c613e5e1158a56e52421ec644bc76e0b493b58fb606,3.13.5,116e5199a0e8326fecb3b419501590e7405c774b838925650f2cb5d3baa56099,6,True,seed-000000-no_fracture,0,1.1220623355955173,8,0,19,0,23,7,2026-09-07T09:07:36.602357+00:00,complete,0,14,9826.753330151356,0,7,20,0
15,9.568516285454363,95.68516285454363,15,10.505392115031036,1.3175094935765808,53.857616074408945,15,0.6531627356693327,no_slope,1,19,3,73,28.641349219018593,4,0,host_ablation,1,,0961a66e7c3e92f4f15d5866cfce224a85fff691,True,15,,,0,1.034867257993178,15,5151.948633949271,1.7763568394002505e-15,2,3.360605408940069e-16,2.0,0.3003639885829321,3.8793726954579992,24,1,3.0,55,Linux-6.8.0-60-generic-x86_64-with-glibc2.39,7,576e1c44642399c739b07c613e5e1158a56e52421ec644bc76e0b493b58fb606,3.13.5,5b3abeb93e5993ca2514c94d019372b1db2eaf12e5d256eb2124ef0e7b6f9740,2,True,seed-000000-no_slope,0,1.1500808030432232,8,0,21,0,28,6,2026-09-07T09:06:39.355310+00:00,complete,0,11,10103.63338964806,0,5,15,0
12,9.887295887016045,98.87295887016046,15,11.712760778598383,1.4689288465220895,54.215930943797716,13,0.5070507042500358,no_stability,1,13,3,63,28.643587275000755,4,0,host_ablation,1,,0961a66e7c3e92f4f15d5866cfce224a85fff691,True,15,,,0,1.0388426620905664,15,5195.925765478268,4.440892098500626e-16,2,2.0475398095824374e-16,2.0,0.34786798476287834,4.044372512911339,18,1,3.0,51,Linux-6.8.0-60-generic-x86_64-with-glibc2.39,5,576e1c44642399c739b07c613e5e1158a56e52421ec644bc76e0b493b58fb606,3.13.5,1e984dc2dbd16b8e8be50c3e3034d936f29dcd73553768407aee1ccf1483755e,5,True,seed-000000-no_stability,0,1.1880462959997726,8,0,18,0,22,8,2026-09-07T09:08:34.088857+00:00,complete,0,14,10720.038324471117,0,6,18,0
13,9.200260682119783,90.94450090536188,17,11.634382504404142,1.459099216251239,54.317495604423584,7,0.47470317166782305,unconditioned,1,14,3,71,28.594489054987207,4,0,host_ablation,1,,0961a66e7c3e92f4f15d5866cfce224a85fff691,True,17,,,0,1.0341322259466674,17,5098.930630570211,1.7763568394002505e-15,2,2.2204460492503126e-16,2.0,0.3118948854245672,3.987225389772406,18,1,3.0,58,Linux-6.8.0-60-generic-x86_64-with-glibc2.39,2,576e1c44642399c739b07c613e5e1158a56e52421ec644bc76e0b493b58fb606,3.13.5,cf43fa90e5ca9b40d7da4bf36bf54f8ee27c42f5a841a16165cc87013adbd00b,8,False,seed-000000-unconditioned,0,1.1580234034518044,8,0,20,0,24,7,2026-09-07T09:09:02.732480+00:00,complete,0,14,10421.305488779006,0,4,18,0
10,9.003231999039293,88.16163996849816,10,0.0,0.0,0.0,13,0.6497221649230207,full,1,13,3,52,27.86646755799302,5,0,host_ablation,1,,0961a66e7c3e92f4f15d5866cfce224a85fff691,True,10,,,0,1.054220156988682,10,5420.501019985157,1.7763568394002505e-15,2,2.2204460492503126e-16,2.0,0.3551305453497115,3.5672346377107806,18,1,3.0,40,Linux-6.8.0-60-generic-x86_64-with-glibc2.39,6,576e1c44642399c739b07c613e5e1158a56e52421ec644bc76e0b493b58fb606,3.13.5,b2fbc14729363b3eba396fd33ebdcd0a19c6055d1a9ea1837249e668636fac56,1,True,seed-000001-full,1,1.15241366842196,8,0,14,0,19,4,2026-09-07T09:06:10.944975+00:00,complete,0,10,9391.938791997534,0,4,12,0
9,12.465725440175879,105.08832743245532,12,3.156629488228865,0.33091934105481036,19.82857901015835,10,0.5348442838064851,no_capacity,1,12,3,55,27.942851528001484,5,0,host_ablation,1,,0961a66e7c3e92f4f15d5866cfce224a85fff691,True,12,,,0,1.0571401504174645,12,5461.605492858442,1.7763568394002505e-15,2,2.2204460492503126e-16,2.0,0.31894798363191607,3.631290041312863,17,1,3.0,44,Linux-6.8.0-60-generic-x86_64-with-glibc2.39,4,576e1c44642399c739b07c613e5e1158a56e52421ec644bc76e0b493b58fb606,3.13.5,982da6980ba0803b9e5bb62b19b09a5f46ee5c1c1b397d7a435431cec4def3c4,5,True,seed-000001-no_capacity,1,1.1970630728536953,8,0,16,0,18,7,2026-09-07T09:08:02.845874+00:00,complete,0,13,10170.93095058617,0,6,18,0
10,9.359902285969088,92.66405827097067,10,1.792769352589478,0.18794161780293034,9.447159110898088,13,0.6452242341113897,no_cover,1,13,3,52,27.9001919819857,5,0,host_ablation,1,,0961a66e7c3e92f4f15d5866cfce224a85fff691,True,10,,,0,1.0533564086075193,10,5451.815048121068,1.3322676295501878e-15,2,3.471017531777654e-16,2.0,0.33729131055176215,3.3054568606101506,18,1,3.0,40,Linux-6.8.0-60-generic-x86_64-with-glibc2.39,7,576e1c44642399c739b07c613e5e1158a56e52421ec644bc76e0b493b58fb606,3.13.5,499dd7656d9ac9f34e94155334ce09f606475a3b4f8155f84460a54133f9218c,1,True,seed-000001-no_cover,1,1.1511042259351005,8,0,14,0,19,5,2026-09-07T09:07:07.062602+00:00,complete,0,10,9515.286710211369,0,5,13,0
