condition_id,elapsed_s,experiment_name,experiment_schema_version,failure_kind,failure_reason,git_commit,git_dirty,input_dataset_id,input_dataset_sha256_or_version,memory_limit_gib,model_schema_version,peak_rss_bytes,peak_rss_gib,platform,project_config_sha256,provenance_sha256,python_version,quality,resolved_config_sha256,route_length_requested_m,run_id,seed,started_at_utc,status,storage_mode_actual,storage_mode_requested,timeout_s,timing_scope,voxel_size_m,wall_time_s,worker_returncode
500m-dense,25.683909236016916,scalability,1,,,0961a66e7c3e92f4f15d5866cfce224a85fff691,True,,,12.0,1,1637031936,1.5246047973632812,Linux-6.8.0-60-generic-x86_64-with-glibc2.39,24b55b51ce8141221d4fe2bf7bf450987be0960f93b3237f9d9bb51751e1447f,6846a0bd88076f727d1805857a5352f61f79df0f46eb112e4991b3996bd6dedb,3.13.5,standard,732d3998882b255c39691818e1494a252f9490ce9fed31cb69ca0942a9da6aa2,500.0,seed-000000-000500m-dense,0,2026-09-07T10:30:15.762369+00:00,complete,dense,dense,7200.0,"host, network, sections, base density with roof screening, meshing and welding; excludes optional events, appearance, exports and application import",0.6,25.67920389500796,0
500m-tiled,30.354841914988356,scalability,1,,,0961a66e7c3e92f4f15d5866cfce224a85fff691,True,,,12.0,1,484913152,0.4516105651855469,Linux-6.8.0-60-generic-x86_64-with-glibc2.39,65abf60bccac7b008911c32486cb650ea7f4c427fbaee9c798d6ce4972578670,6846a0bd88076f727d1805857a5352f61f79df0f46eb112e4991b3996bd6dedb,3.13.5,standard,732d3998882b255c39691818e1494a252f9490ce9fed31cb69ca0942a9da6aa2,500.0,seed-000000-000500m-tiled,0,2026-09-07T10:30:41.461595+00:00,complete,tiled,tiled,7200.0,"host, network, sections, base density with roof screening, meshing and welding; excludes optional events, appearance, exports and application import",0.6,30.353115009027533,0
1000m-dense,53.58783970598597,scalability,1,,,0961a66e7c3e92f4f15d5866cfce224a85fff691,True,,,12.0,1,4272001024,3.9786109924316406,Linux-6.8.0-60-generic-x86_64-with-glibc2.39,147e7a40ab579b2cecd6277dc793b00b36413c51cb571b921e24a137fefba648,6846a0bd88076f727d1805857a5352f61f79df0f46eb112e4991b3996bd6dedb,3.13.5,standard,732d3998882b255c39691818e1494a252f9490ce9fed31cb69ca0942a9da6aa2,1000.0,seed-000000-001000m-dense,0,2026-09-07T10:31:11.828435+00:00,complete,dense,dense,7200.0,"host, network, sections, base density with roof screening, meshing and welding; excludes optional events, appearance, exports and application import",0.6,53.57927069501602,0
1000m-tiled,60.46491219199379,scalability,1,,,0961a66e7c3e92f4f15d5866cfce224a85fff691,True,,,12.0,1,817074176,0.7609596252441406,Linux-6.8.0-60-generic-x86_64-with-glibc2.39,51749ca68c2e0fc02dbfc76db6763225751995d47452bf2819f86df490b7d54c,6846a0bd88076f727d1805857a5352f61f79df0f46eb112e4991b3996bd6dedb,3.13.5,standard,732d3998882b255c39691818e1494a252f9490ce9fed31cb69ca0942a9da6aa2,1000.0,seed-000000-001000m-tiled,0,2026-09-07T10:32:05.446527+00:00,complete,tiled,tiled,7200.0,"host, network, sections, base density with roof screening, meshing and welding; excludes optional events, appearance, exports and application import",0.6,60.46260142402025,0
2000m-dense,64.00029576499946,scalability,1,,,0961a66e7c3e92f4f15d5866cfce224a85fff691,True,,,12.0,1,9484996608,8.83359146118164,Linux-6.8.0-60-generic-x86_64-with-glibc2.39,4f9e0a5a11d9951ac9c6c9408b378b807d16bbf9a02e7892126ba7303b962db3,6846a0bd88076f727d1805857a5352f61f79df0f46eb112e4991b3996bd6dedb,3.13.5,standard,732d3998882b255c39691818e1494a252f9490ce9fed31cb69ca0942a9da6aa2,2000.0,seed-000000-002000m-dense,0,2026-09-07T10:33:05.937983+00:00,complete,dense,dense,7200.0,"host, network, sections, base density with roof screening, meshing and welding; excludes optional events, appearance, exports and application import",0.6,63.99707396500162,0
2000m-tiled,68.83293000102276,scalability,1,,,0961a66e7c3e92f4f15d5866cfce224a85fff691,True,,,12.0,1,1023741952,0.9534339904785156,Linux-6.8.0-60-generic-x86_64-with-glibc2.39,11d69d19d54d76d727abac9a3f23510c751896d04d9f89f88a9177ed7000ebd5,6846a0bd88076f727d1805857a5352f61f79df0f46eb112e4991b3996bd6dedb,3.13.5,standard,732d3998882b255c39691818e1494a252f9490ce9fed31cb69ca0942a9da6aa2,2000.0,seed-000000-002000m-tiled,0,2026-09-07T10:34:09.971751+00:00,complete,tiled,tiled,7200.0,"host, network, sections, base density with roof screening, meshing and welding; excludes optional events, appearance, exports and application import",0.6,68.82802841099328,0
5000m-dense,97.51617586700013,scalability,1,memory_limit,RuntimeError: memory_limit: exit -9; ,0961a66e7c3e92f4f15d5866cfce224a85fff691,True,,,12.0,1,12886126592,12.001140594482422,Linux-6.8.0-60-generic-x86_64-with-glibc2.39,,6846a0bd88076f727d1805857a5352f61f79df0f46eb112e4991b3996bd6dedb,3.13.5,,732d3998882b255c39691818e1494a252f9490ce9fed31cb69ca0942a9da6aa2,,seed-000000-005000m-dense,0,2026-09-07T10:35:18.843249+00:00,failed,,,7200.0,,,97.51593170399428,-9
5000m-tiled,132.5557419550023,scalability,1,,,0961a66e7c3e92f4f15d5866cfce224a85fff691,True,,,12.0,1,1782231040,1.6598320007324219,Linux-6.8.0-60-generic-x86_64-with-glibc2.39,51ce99549d6ea5557d487745dca4aa6aa1639200f2b324c83ad8fd9b7a4f81cc,6846a0bd88076f727d1805857a5352f61f79df0f46eb112e4991b3996bd6dedb,3.13.5,standard,732d3998882b255c39691818e1494a252f9490ce9fed31cb69ca0942a9da6aa2,5000.0,seed-000000-005000m-tiled,0,2026-09-07T10:36:56.389674+00:00,complete,tiled,tiled,7200.0,"host, network, sections, base density with roof screening, meshing and welding; excludes optional events, appearance, exports and application import",0.6,132.55266598798335,0
500m-dense,31.97258078798768,scalability,1,,,0961a66e7c3e92f4f15d5866cfce224a85fff691,True,,,12.0,1,2060689408,1.9191665649414062,Linux-6.8.0-60-generic-x86_64-with-glibc2.39,c86e00b2f7ca4e30afef219d50b4403e3798222a5a02a4d5c22325d0e1d098da,6846a0bd88076f727d1805857a5352f61f79df0f46eb112e4991b3996bd6dedb,3.13.5,standard,732d3998882b255c39691818e1494a252f9490ce9fed31cb69ca0942a9da6aa2,500.0,seed-000001-000500m-dense,1,2026-09-07T10:39:08.986672+00:00,complete,dense,dense,7200.0,"host, network, sections, base density with roof screening, meshing and welding; excludes optional events, appearance, exports and application import",0.6,31.971105919015827,0
500m-tiled,39.32763012201758,scalability,1,,,0961a66e7c3e92f4f15d5866cfce224a85fff691,True,,,12.0,1,565661696,0.5268135070800781,Linux-6.8.0-60-generic-x86_64-with-glibc2.39,3ebf1466f58c7009599526995a461bab90ecacc7ca0e1812413bd7f933875ac2,6846a0bd88076f727d1805857a5352f61f79df0f46eb112e4991b3996bd6dedb,3.13.5,standard,732d3998882b255c39691818e1494a252f9490ce9fed31cb69ca0942a9da6aa2,500.0,seed-000001-000500m-tiled,1,2026-09-07T10:39:41.007077+00:00,complete,tiled,tiled,7200.0,"host, network, sections, base density with roof screening, meshing and welding; excludes optional events, appearance, exports and application import",0.6,39.32552266397397,0
1000m-dense,40.73654232901754,scalability,1,,,0961a66e7c3e92f4f15d5866cfce224a85fff691,True,,,12.0,1,3408932864,3.174816131591797,Linux-6.8.0-60-generic-x86_64-with-glibc2.39,105a131b145a970e1fb546a668c5996028b4c011f30c6410c85f666d48b04081,6846a0bd88076f727d1805857a5352f61f79df0f46eb112e4991b3996bd6dedb,3.13.5,standard,732d3998882b255c39691818e1494a252f9490ce9fed31cb69ca0942a9da6aa2,1000.0,seed-000001-001000m-dense,1,2026-09-07T10:40:20.385812+00:00,complete,dense,dense,7200.0,"host, network, sections, base density with roof screening, meshing and welding; excludes optional events, appearance, exports and application import",0.6,40.733749979001004,0
1000m-tiled,47.98995231598383,scalability,1,,,0961a66e7c3e92f4f15d5866cfce224a85fff691,True,,,12.0,1,700973056,0.65283203125,Linux-6.8.0-60-generic-x86_64-with-glibc2.39,f0590be902770c54b7bfb05f387b9749fcebe89e8640dd640bff5dd2ecfa3497,6846a0bd88076f727d1805857a5352f61f79df0f46eb112e4991b3996bd6dedb,3.13.5,standard,732d3998882b255c39691818e1494a252f9490ce9fed31cb69ca0942a9da6aa2,1000.0,seed-000001-001000m-tiled,1,2026-09-07T10:41:01.171681+00:00,complete,tiled,tiled,7200.0,"host, network, sections, base density with roof screening, meshing and welding; excludes optional events, appearance, exports and application import",0.6,47.98610487100086,0
2000m-dense,74.07598259998485,scalability,1,,,0961a66e7c3e92f4f15d5866cfce224a85fff691,True,,,12.0,1,12264992768,11.422664642333984,Linux-6.8.0-60-generic-x86_64-with-glibc2.39,a5b8b6f2d6550e5cc5ef8fb1921979f62a7f82fa550ddce747da4b9ad2580531,6846a0bd88076f727d1805857a5352f61f79df0f46eb112e4991b3996bd6dedb,3.13.5,standard,732d3998882b255c39691818e1494a252f9490ce9fed31cb69ca0942a9da6aa2,2000.0,seed-000001-002000m-dense,1,2026-09-07T10:41:49.225184+00:00,complete,dense,dense,7200.0,"host, network, sections, base density with roof screening, meshing and welding; excludes optional events, appearance, exports and application import",0.6,74.07010772801004,0
2000m-tiled,74.32763976600836,scalability,1,,,0961a66e7c3e92f4f15d5866cfce224a85fff691,True,,,12.0,1,1137737728,1.059600830078125,Linux-6.8.0-60-generic-x86_64-with-glibc2.39,9139fa3d6e0237edf4dd41fc2d74b9e4b05cd4eb8c193ec38d8c8bbe89e4cb23,6846a0bd88076f727d1805857a5352f61f79df0f46eb112e4991b3996bd6dedb,3.13.5,standard,732d3998882b255c39691818e1494a252f9490ce9fed31cb69ca0942a9da6aa2,2000.0,seed-000001-002000m-tiled,1,2026-09-07T10:43:03.362611+00:00,complete,tiled,tiled,7200.0,"host, network, sections, base density with roof screening, meshing and welding; excludes optional events, appearance, exports and application import",0.6,74.3151051820023,0
5000m-dense,28.533808697015047,scalability,1,memory_limit,RuntimeError: memory_limit: exit -9; ,0961a66e7c3e92f4f15d5866cfce224a85fff691,True,,,12.0,1,12931956736,12.0438232421875,Linux-6.8.0-60-generic-x86_64-with-glibc2.39,,6846a0bd88076f727d1805857a5352f61f79df0f46eb112e4991b3996bd6dedb,3.13.5,,732d3998882b255c39691818e1494a252f9490ce9fed31cb69ca0942a9da6aa2,,seed-000001-005000m-dense,1,2026-09-07T10:44:17.770139+00:00,failed,,,7200.0,,,28.53358851899975,-9
5000m-tiled,116.30185067499406,scalability,1,,,0961a66e7c3e92f4f15d5866cfce224a85fff691,True,,,12.0,1,1642065920,1.5292930603027344,Linux-6.8.0-60-generic-x86_64-with-glibc2.39,866979a84e9747c792f8a36ee6fa2c892f2e882a762a9039f4f415781e16f86d,6846a0bd88076f727d1805857a5352f61f79df0f46eb112e4991b3996bd6dedb,3.13.5,standard,732d3998882b255c39691818e1494a252f9490ce9fed31cb69ca0942a9da6aa2,5000.0,seed-000001-005000m-tiled,1,2026-09-07T10:44:46.364917+00:00,complete,tiled,tiled,7200.0,"host, network, sections, base density with roof screening, meshing and welding; excludes optional events, appearance, exports and application import",0.6,116.29879099602113,0
500m-dense,29.209031120000873,scalability,1,,,0961a66e7c3e92f4f15d5866cfce224a85fff691,True,,,12.0,1,1690431488,1.5743370056152344,Linux-6.8.0-60-generic-x86_64-with-glibc2.39,5c705dd5c26f097d20806968f25d682574e6f81546b9397fba79e837b4d9fee9,6846a0bd88076f727d1805857a5352f61f79df0f46eb112e4991b3996bd6dedb,3.13.5,standard,732d3998882b255c39691818e1494a252f9490ce9fed31cb69ca0942a9da6aa2,500.0,seed-000002-000500m-dense,2,2026-09-07T10:46:42.735866+00:00,complete,dense,dense,7200.0,"host, network, sections, base density with roof screening, meshing and welding; excludes optional events, appearance, exports and application import",0.6,29.20745451300172,0
500m-tiled,34.944083373004105,scalability,1,,,0961a66e7c3e92f4f15d5866cfce224a85fff691,True,,,12.0,1,509947904,0.4749259948730469,Linux-6.8.0-60-generic-x86_64-with-glibc2.39,b7c9cee16c9b42499ba512c6a4f3a349df9a25f8e3d3b29902efe4660da65f46,6846a0bd88076f727d1805857a5352f61f79df0f46eb112e4991b3996bd6dedb,3.13.5,standard,732d3998882b255c39691818e1494a252f9490ce9fed31cb69ca0942a9da6aa2,500.0,seed-000002-000500m-tiled,2,2026-09-07T10:47:12.017295+00:00,complete,tiled,tiled,7200.0,"host, network, sections, base density with roof screening, meshing and welding; excludes optional events, appearance, exports and application import",0.6,34.94258780500968,0
